time_ns,acorr
0.0,1.0000000000000002
0.01,0.8678012630915476
0.02,0.8403773158818502
0.03,0.8230193838177834
0.04,0.8104437263426162
0.05,0.7948017721048245
0.06,0.7778247566834886
0.07,0.765136742428674
0.08,0.7512222916866074
0.09,0.7427724884457352
0.1,0.7334559077514402
0.11,0.7216352732938004
0.12,0.7174048322226554
0.13,0.7171806021686131
0.14,0.708085710160395
0.15,0.6924707366905861
0.16,0.6872883542129605
0.17,0.682669163016628
0.18,0.6728468970825164
0.19,0.6639584161620945
0.2,0.6600229119362295
0.21,0.6559029096578697
0.22,0.647777883302562
0.23,0.6411787358766882
0.24,0.6310696173521273
0.25,0.6252212856400606
0.26,0.6305587171888681
0.27,0.622998077264626
0.28,0.6175868133720466
0.29,0.618564313626119
0.3,0.616070389283666
0.31,0.622161200943004
0.32,0.614715583010255
0.33,0.61298102746563
0.34,0.6098657403617761
0.35000000000000003,0.5990503529957629
0.36,0.5930914058398222
0.37,0.5889787248369641
0.38,0.5820713422363053
0.39,0.5733175845433387
0.4,0.5720876075097345
0.41000000000000003,0.5653496766086462
0.42,0.5630739775425948
0.43,0.5639365947763274
0.44,0.5556460310565613
0.45,0.5509155300696106
0.46,0.5456042696933604
0.47000000000000003,0.5429234259571469
0.48,0.5361040613675015
0.49,0.5331550708756915
0.5,0.5313141249584521
0.51,0.530906543540054
0.52,0.5286749574835732
0.53,0.524950576709336
0.54,0.51360867328466
0.55,0.5156197579934365
0.56,0.5094089736243785
0.5700000000000001,0.5094700021190195
0.58,0.5057154281145925
0.59,0.5020475598136513
0.6,0.5057018773241546
0.61,0.5034850680318022
0.62,0.5042375100686337
0.63,0.5053757018086588
0.64,0.5075732797100944
0.65,0.5042904140733759
0.66,0.5056835787056779
0.67,0.5065298710500191
0.68,0.5096876419095572
0.6900000000000001,0.5014312012617599
0.7000000000000001,0.49622025571638206
0.71,0.48579204642268925
0.72,0.4870243451556805
0.73,0.481527651112845
0.74,0.48214247519255216
0.75,0.47902871624840954
0.76,0.475916154368937
0.77,0.47847020373835825
0.78,0.48240161756216154
0.79,0.4787427254007488
0.8,0.47357770500006413
0.81,0.4749083206816135
