time_ns,acorr
0.0,1.0
0.01,0.9254921004312346
0.02,0.9187075259691558
0.03,0.9083018522789896
0.04,0.9080210878707141
0.05,0.9014844683963994
0.06,0.8998939697864676
0.07,0.8950032715367789
0.08,0.8967180592798772
0.09,0.892179071299429
0.1,0.8911268040865863
0.11,0.8815641371169693
0.12,0.8839490779997626
0.13,0.8747654265966773
0.14,0.8754973366721286
0.15,0.8718404648707005
0.16,0.8768950556952001
0.17,0.8727919717777677
0.18,0.8705384981310784
0.19,0.8665837756275999
0.2,0.8659424132458737
0.21,0.8609763649214318
0.22,0.8602581501488374
0.23,0.861632602386796
0.24,0.8605773622236041
0.25,0.8605982241012556
0.26,0.860408147262379
0.27,0.858088919673506
0.28,0.860007202064199
0.29,0.859176507968005
0.3,0.8560404259181058
0.31,0.8532591194617523
0.32,0.8569729183220415
0.33,0.8573158917592735
0.34,0.8542050609641979
0.35000000000000003,0.8523079162801938
0.36,0.8525226488239309
0.37,0.8509190439725669
0.38,0.8499681585262765
0.39,0.8477734974191913
0.4,0.844033535285613
0.41000000000000003,0.844578464399292
0.42,0.8437981657199172
0.43,0.8446118780752209
0.44,0.8436964880174177
0.45,0.8395934843088905
0.46,0.8378416177842437
0.47000000000000003,0.8374271469959633
0.48,0.8378757391951024
0.49,0.8359361090422291
0.5,0.8352756794841761
0.51,0.8349012045440702
0.52,0.8343946070321897
0.53,0.833109094466684
0.54,0.831487271422031
0.55,0.8290684775968703
0.56,0.8324968910824795
0.5700000000000001,0.8273742257168322
0.58,0.8310335605141406
0.59,0.8269229243939688
0.6,0.8242375654733113
0.61,0.821802387035109
0.62,0.8196234047024663
0.63,0.818729230856698
0.64,0.8169547002976867
0.65,0.8137287899728641
0.66,0.8132211379372926
0.67,0.8135169772891149
0.68,0.813550840985462
0.6900000000000001,0.814252549218985
0.7000000000000001,0.8116528480447753
0.71,0.8090580976891052
0.72,0.8110979302126622
0.73,0.8079085955155487
0.74,0.8069440415360352
0.75,0.8060971743453431
0.76,0.8043030808644503
