time_ns,acorr
0.0,1.0
0.01,0.8715830921531474
0.02,0.8345533513964594
0.03,0.7974493425008076
0.04,0.7708910007190738
0.05,0.7492427279766027
0.06,0.7260700265277686
0.07,0.7029612559056989
0.08,0.6852327487758725
0.09,0.6736156173453562
0.1,0.6611393204540194
0.11,0.6543058068540605
0.12,0.6409416385890474
0.13,0.6303073437138415
0.14,0.6265683362108797
0.15,0.6182255641992309
0.16,0.607967648005997
0.17,0.5937446815031198
0.18,0.5925165123305015
0.19,0.5863016061173792
0.2,0.5884440080524176
0.21,0.5904631819937669
0.22,0.5855890357288066
0.23,0.5876834889778811
0.24,0.5865544158539299
0.25,0.5886406679453974
0.26,0.5912860452688153
0.27,0.5873195992391897
0.28,0.5884679189836939
0.29,0.5879018862941267
0.3,0.585104928514926
0.31,0.5874201291018836
0.32,0.585208199252343
0.33,0.5858427723648357
0.34,0.5849133285309336
0.35000000000000003,0.585269899804912
0.36,0.5873322998143117
0.37,0.5879557155784949
0.38,0.5848305187764037
0.39,0.5885343116919612
0.4,0.5867792591407816
0.41000000000000003,0.5826728556333373
0.42,0.5786825980002992
0.43,0.5785590561322902
0.44,0.5787982933699097
0.45,0.5780841374032083
0.46,0.5684696989420384
0.47000000000000003,0.5673152394865343
0.48,0.5688860649034142
0.49,0.56563462708644
0.5,0.5617064844312957
0.51,0.553799725664792
0.52,0.5507117563136302
0.53,0.5387408376016927
0.54,0.5444250372567329
0.55,0.5424704690335168
0.56,0.5418481452337184
0.5700000000000001,0.5442611100652898
0.58,0.5424204880372311
0.59,0.5456851547262924
0.6,0.5527605087002033
0.61,0.5549572630615899
0.62,0.5601312060492231
0.63,0.5594219986497275
0.64,0.5561367357324618
0.65,0.5563767736903099
0.66,0.5571835440306114
0.67,0.553120997761205
0.68,0.5468847724312623
0.6900000000000001,0.5447965730990268
0.7000000000000001,0.5414566068040337
0.71,0.5424285307186145
0.72,0.5287127841820158
0.73,0.5200727337814546
0.74,0.5206522858820793
0.75,0.5147082940621027
0.76,0.5124686022341554
0.77,0.5125251648595621
0.78,0.5175307308795238
0.79,0.518712209239686
0.8,0.5215876779717018
0.81,0.5213507532907161
0.8200000000000001,0.5268380262003142
0.8300000000000001,0.530800206778057
0.84,0.5363198965826327
0.85,0.5466022098298912
0.86,0.5481080028839791
0.87,0.5509177742094794
0.88,0.5503874474351461
0.89,0.546707548849121
0.9,0.5490578067131475
0.91,0.5493836161835209
0.92,0.554576910875421
0.93,0.5596517715807391
0.9400000000000001,0.5582397683504897
0.9500000000000001,0.5586737743596846
0.96,0.5546645758528307
0.97,0.5574216755581216
0.98,0.5452288678282468
0.99,0.5436164790447047
1.0,0.5412794690091969
1.01,0.5367639117017383
1.02,0.5398811313286117
1.03,0.5404305368239329
1.04,0.5404482066618785
1.05,0.5440540858572659
1.06,0.5469600739753999
1.07,0.54991152744637
1.08,0.5506003354792773
1.09,0.5490832687452805
1.1,0.5529400333121396
1.11,0.5603107738336777
1.12,0.5601274573163864
1.1300000000000001,0.5563014632473297
1.1400000000000001,0.560893209299947
1.1500000000000001,0.5640097159541844
1.16,0.5633142743592614
1.17,0.5583434593212278
1.18,0.5589452746095739
1.19,0.5615558698112473
1.2,0.5574853357407916
1.21,0.5635995723282767
1.22,0.5645672886939749
1.23,0.567065657304638
1.24,0.5693288847069374
1.25,0.5755697839928501
1.26,0.5787616775258544
1.27,0.576318798093377
1.28,0.5793722177502961
1.29,0.5698443677136719
1.3,0.5760806405839488
1.31,0.571580525311625
1.32,0.5717015626210761
1.33,0.5662327836406557
1.34,0.5664784780879837
1.35,0.5599300257265843
1.36,0.5609345896501886
1.37,0.5593603297815338
1.3800000000000001,0.5481528280725789
1.3900000000000001,0.5431605090339784
1.4000000000000001,0.5476727411158521
1.41,0.5373927043867905
1.42,0.5409842300161694
1.43,0.5334533741275235
1.44,0.5305176817993746
1.45,0.5299801784799719
1.46,0.5213110828899319
1.47,0.524184213947825
1.48,0.522847795006995
1.49,0.5207139367711607
1.5,0.5236676814892681
1.51,0.524653885988657
1.52,0.5294379427335822
1.53,0.534239089535226
1.54,0.5412024039321236
1.55,0.5470959334299867
1.56,0.5477218443973291
1.57,0.541648787457695
1.58,0.5442219354974333
1.59,0.539251464001333
1.6,0.5330587075835695
1.61,0.5310660882968832
1.62,0.5252469789164973
1.6300000000000001,0.5302735815291987
1.6400000000000001,0.5272789609487788
1.6500000000000001,0.5314030356719484
1.6600000000000001,0.5356104205307765
1.67,0.5365340311615919
1.68,0.549721197580661
1.69,0.5535100042385529
1.7,0.5589168901566532
1.71,0.5679466675934947
1.72,0.5628007219502382
1.73,0.5631923778855713
1.74,0.5601464644526899
1.75,0.5623180645828189
1.76,0.5575912147813932
1.77,0.5609791799793801
1.78,0.5548060877317862
1.79,0.5553867369644232
1.8,0.5504506246475065
1.81,0.5512261278063844
1.82,0.5505640828550401
1.83,0.5450058625217202
1.84,0.5407094216770268
1.85,0.5398309044246568
1.86,0.5378664998026513
1.87,0.5293119695172112
1.8800000000000001,0.5252213023247075
1.8900000000000001,0.5184541832058456
1.9000000000000001,0.5159893978399229
1.9100000000000001,0.5123704340368418
1.92,0.5079557937397613
1.93,0.5006977563716575
1.94,0.49709019432555407
1.95,0.49361804782872387
1.96,0.4946697655420273
1.97,0.4948602251261844
1.98,0.4973404961093316
1.99,0.5004825344609528
2.0,0.49787204233057186
2.0100000000000002,0.5016333533995029
2.02,0.5056397102044624
2.0300000000000002,0.5056546963990678
2.04,0.5001562703153756
2.05,0.4959038410118614
2.06,0.49925823314557755
2.07,0.5053665834437656
2.08,0.5043467451460709
2.09,0.505890712139336
2.1,0.5100342399389083
2.11,0.515915750470637
2.12,0.5225089496241551
2.13,0.5275416586034497
2.14,0.5272406813234134
2.15,0.5316818923685759
2.16,0.5349992015453989
2.17,0.5349782479285952
2.18,0.5373634630268534
2.19,0.5369974516155058
2.2,0.537868761910218
2.21,0.5454083618633648
2.22,0.5449285248193554
2.23,0.5456427950345113
2.24,0.5397925618699535
2.25,0.5332136074346092
2.2600000000000002,0.5291510327948851
2.27,0.5298822073266403
2.2800000000000002,0.5225364660450272
2.29,0.5252523370700501
2.3000000000000003,0.5247892043370551
2.31,0.5212437545813133
2.32,0.5197954016802643
2.33,0.5215340071304754
2.34,0.5218358421337543
2.35,0.5215328189597053
2.36,0.5144512769909411
2.37,0.5171130825781941
2.38,0.5215134836071715
2.39,0.5185431922808921
2.4,0.5167621450425818
2.41,0.5174922013349003
2.42,0.5224422299393966
2.43,0.5246138267638516
2.44,0.5293269845258095
2.45,0.5383554272564999
2.46,0.5360696894070327
2.47,0.5419283330804959
2.48,0.5422976875225176
2.49,0.5425620300508205
2.5,0.5451481697208445
2.5100000000000002,0.5443379303971435
2.52,0.5400699017554574
2.5300000000000002,0.5401137677890616
2.54,0.5344932432801333
2.5500000000000003,0.5355649275729001
2.56,0.5355751297642256
2.57,0.5373084470778959
2.58,0.5417164636301127
2.59,0.5398253790281047
2.6,0.5393999831415763
2.61,0.5439420904628256
2.62,0.5475286700446228
2.63,0.547128054092398
2.64,0.5483615507998585
2.65,0.5506049568214597
2.66,0.5549059320458973
2.67,0.5516062740675746
2.68,0.5464275595478778
2.69,0.5465225094496278
2.7,0.5481687083019697
2.71,0.5434158287796963
2.72,0.5405999215322901
2.73,0.5435327743829227
2.74,0.5433248701946013
2.75,0.5435728798304414
2.7600000000000002,0.5429307738875536
2.77,0.5438849516748927
2.7800000000000002,0.5423980897654507
2.79,0.5423124548809891
2.8000000000000003,0.5406435364231961
2.81,0.5431016668783893
2.82,0.5423776746322696
2.83,0.5402927302632697
2.84,0.54183563754419
2.85,0.5471255339737445
2.86,0.5459324381898795
2.87,0.542046533897277
2.88,0.5345647817728051
2.89,0.5265113963003678
2.9,0.5269342963825238
2.91,0.5259385829364449
2.92,0.5262022597008467
2.93,0.5266213066017255
2.94,0.5306866649022213
2.95,0.5358693963703526
2.96,0.537591854131428
2.97,0.5387738782349256
2.98,0.5403373249178689
2.99,0.5374489395097052
3.0,0.54089140088111
3.0100000000000002,0.540685310033363
3.02,0.5358963965447594
3.0300000000000002,0.5345576970428141
3.04,0.5276956168781247
3.0500000000000003,0.5285138153236276
3.06,0.5376163954253793
3.0700000000000003,0.5386730518498406
3.08,0.5446749080240113
3.09,0.5345638105030712
3.1,0.5343367152156347
3.11,0.530857960906519
3.12,0.5334707873885854
3.13,0.5366093884584003
3.14,0.5303135540157657
3.15,0.5298510424651307
3.16,0.5323233122706189
3.17,0.5331021693581377
3.18,0.5321534876603264
3.19,0.5293343151803465
3.2,0.5197548890754827
3.21,0.5178429441843458
3.22,0.5167013574421342
3.23,0.5159367612516699
3.24,0.5168236013242646
3.25,0.5123687224478378
3.2600000000000002,0.5216694942449823
3.27,0.5261043543550126
3.2800000000000002,0.5282680777236753
3.29,0.5272572436948171
3.3000000000000003,0.5290207210972963
3.31,0.5350130569713792
3.3200000000000003,0.5275155711278467
3.33,0.529999505226548
3.34,0.5244309637376842
3.35,0.5227904553571813
3.36,0.5199440373271318
3.37,0.5197052475935983
3.38,0.5195108072996518
3.39,0.5239857498098925
3.4,0.5296445399029803
3.41,0.5300304072466663
3.42,0.5362523214050554
3.43,0.5408186341727962
3.44,0.5446894585607043
3.45,0.5486597518207584
3.46,0.542694814727983
3.47,0.5381696573834667
3.48,0.5326882416459644
3.49,0.5299918407862648
3.5,0.5256945141280996
3.5100000000000002,0.5281124079860128
3.52,0.5266564218849797
3.5300000000000002,0.5261685750144885
3.54,0.5292133767135652
3.5500000000000003,0.5298705911700943
3.56,0.5209550790666745
3.5700000000000003,0.5220897758917425
3.58,0.5146238306098454
3.59,0.5103549151658431
3.6,0.5103455689652457
3.61,0.5087371688538403
3.62,0.5019741892259787
3.63,0.5060142522086215
3.64,0.5027169400708348
3.65,0.5012556420027707
3.66,0.49860734484693203
3.67,0.4979577661731612
3.68,0.4971338151325695
3.69,0.4970470544964076
3.7,0.4914460794947013
3.71,0.4880033553032625
3.72,0.4858143100560346
3.73,0.48196390734203687
3.74,0.4770789528173566
3.75,0.48301320546026566
3.7600000000000002,0.4815329583224806
3.77,0.48414861764965944
3.7800000000000002,0.48891232962859754
3.79,0.48875450554079014
3.8000000000000003,0.49318521300375745
3.81,0.5033926656986358
3.8200000000000003,0.5019488456459809
3.83,0.5004150288735224
3.84,0.5001283946566083
3.85,0.500412666395393
3.86,0.5052433212106435
3.87,0.511266806196346
3.88,0.5237895952476055
3.89,0.5308563902459607
3.9,0.5382223168354652
3.91,0.5386901302307346
3.92,0.5425702029219271
3.93,0.5514998692630627
3.94,0.547761208207843
3.95,0.5386624732796222
3.96,0.5297119133584318
3.97,0.5265404452025437
3.98,0.5208680246116189
3.99,0.5248453324850002
4.0,0.529978390681947
4.01,0.5332211797106641
4.0200000000000005,0.53637806522199
4.03,0.530785284874826
4.04,0.530110165779093
4.05,0.5346819441445303
4.0600000000000005,0.5391047358362661
4.07,0.5390971944649056
4.08,0.5381648299800967
4.09,0.5438706453017673
4.1,0.5381002863334298
4.11,0.5418628146001321
4.12,0.539803563520356
4.13,0.5468193154176059
4.14,0.5457968978426954
4.15,0.549680977444382
4.16,0.5450985210409578
4.17,0.5488943855840068
4.18,0.5473026376579643
4.19,0.5492212133520763
4.2,0.5461738320314933
4.21,0.5415545637832123
4.22,0.5347426815497401
4.23,0.5277751193990768
4.24,0.5185742244912218
4.25,0.5178118979549473
4.26,0.516578046920712
4.2700000000000005,0.5155310931391114
4.28,0.5208666472903338
4.29,0.528205069172745
4.3,0.5286942519748683
4.3100000000000005,0.531710782796225
4.32,0.5284765808478049
4.33,0.5312784078008097
4.34,0.5341038834285409
4.3500000000000005,0.5364254967619344
4.36,0.5371884300921239
4.37,0.541997705361535
4.38,0.545691546273903
4.39,0.5445761062892323
4.4,0.5465179928915802
4.41,0.5531999545862609
4.42,0.5574932315549683
4.43,0.5588629356792592
4.44,0.5588058284934625
4.45,0.5573718322993662
4.46,0.5570264077662138
4.47,0.5557643890471561
4.48,0.5537210172592086
4.49,0.5505864082741455
4.5,0.5542653892977241
4.51,0.5543591210249512
4.5200000000000005,0.5493272916600342
4.53,0.5427489076544005
4.54,0.5465812890362056
4.55,0.5399670872945442
4.5600000000000005,0.5418705665239015
4.57,0.5315846684607078
4.58,0.5282169361830485
4.59,0.5190480127898108
4.6000000000000005,0.5136116963300216
4.61,0.5160463075820462
4.62,0.5105042255743455
4.63,0.5051307452125902
4.64,0.4923270651490756
4.65,0.482001782773755
4.66,0.48000682406522654
4.67,0.48262025195090935
4.68,0.4849598447846424
4.69,0.4828329741264061
4.7,0.4886491527274095
4.71,0.4915129445243971
4.72,0.5025890547325941
4.73,0.5102773602350201
4.74,0.5172565086620136
4.75,0.5197345727785435
4.76,0.5313521760997099
4.7700000000000005,0.5404175218370697
4.78,0.5506258076604503
4.79,0.5545763004566756
4.8,0.5639798825342051
4.8100000000000005,0.5600543129667981
4.82,0.556768696397033
4.83,0.557582230798743
4.84,0.5544564379925536
4.8500000000000005,0.5563097658686307
4.86,0.55430479141973
4.87,0.5582176570053259
4.88,0.5499170162142879
4.89,0.5433539807528908
4.9,0.5385302839117297
4.91,0.5313082195560296
4.92,0.5249394399907091
4.93,0.5166832075067589
4.94,0.51322890475521
4.95,0.514406672566026
4.96,0.5146991630445593
4.97,0.5194634399994519
4.98,0.5127957817026372
4.99,0.518873143701379
5.0,0.5149949750477203
5.01,0.5266940239539603
5.0200000000000005,0.5302146974423113
5.03,0.525922842983535
5.04,0.5292920393981045
5.05,0.5309343617139641
5.0600000000000005,0.5298513440621025
5.07,0.5278627225248207
5.08,0.5333931374304435
5.09,0.5343481921736039
5.1000000000000005,0.5325541445415767
5.11,0.5392043999593884
5.12,0.5395945694643284
5.13,0.536728583311974
5.14,0.5352885076793306
5.15,0.5368372856138824
5.16,0.5395842975711441
5.17,0.5431722065564903
5.18,0.548554597508586
5.19,0.5478481856713805
5.2,0.5467200069556033
5.21,0.5479153764894295
5.22,0.5547849938229036
5.23,0.5568862616828173
5.24,0.5548720690932916
5.25,0.5515940292853905
5.26,0.546369124564983
5.2700000000000005,0.5444369461656635
5.28,0.537693796165607
5.29,0.5336262480478038
5.3,0.5283383949199745
5.3100000000000005,0.5230346708686708
5.32,0.5186325691493602
5.33,0.515245105282236
5.34,0.5225123502052874
5.3500000000000005,0.5248096296675104
5.36,0.5264437858207732
5.37,0.5275918062704554
5.38,0.5271489291706852
5.39,0.5280131609374185
5.4,0.5384053963574769
5.41,0.5483868680882599
5.42,0.552535989109538
5.43,0.5560744128657563
5.44,0.5565306981466007
5.45,0.5694716888502305
5.46,0.5741314730313826
5.47,0.573423750108028
5.48,0.5743490173977946
5.49,0.5719268268294719
5.5,0.5665960039032965
5.51,0.5669603968975214
5.5200000000000005,0.5569829254313924
5.53,0.5518065561009593
5.54,0.5388192700995666
5.55,0.5314649039455295
5.5600000000000005,0.522596321052808
5.57,0.5209920042726971
5.58,0.5198738754671272
5.59,0.5146727540715338
5.6000000000000005,0.5084082997735979
5.61,0.5183382710197187
5.62,0.5069009594370962
5.63,0.5123901047630998
5.64,0.5131603278360495
5.65,0.5248128840207981
5.66,0.5265076467796344
5.67,0.5351910654204256
5.68,0.5354140944850371
5.69,0.539678113689943
5.7,0.54411388215806
5.71,0.5517174706724994
5.72,0.5631119683057452
5.73,0.5645409088264044
5.74,0.567476478442753
5.75,0.5724338555717818
5.76,0.5735958000287381
5.7700000000000005,0.5711367603408368
5.78,0.5697357765180227
5.79,0.5671119894642754
5.8,0.5655203314337365
5.8100000000000005,0.5532066622280797
5.82,0.5514843324734922
5.83,0.5443716476657655
5.84,0.5448925529980839
5.8500000000000005,0.5416208574055705
5.86,0.5331309521510098
5.87,0.530346275364759
5.88,0.538051967744143
5.89,0.5410412085335453
5.9,0.5360154339514799
5.91,0.5282808073677682
5.92,0.5280342649642714
5.93,0.5270175087150766
5.94,0.5261086653074604
5.95,0.5166471170861833
5.96,0.5177868136360899
5.97,0.5162743707829673
5.98,0.5280172751298706
5.99,0.5280570803062585
6.0,0.5298784398925218
6.01,0.5312907140583704
6.0200000000000005,0.5335102069752243
6.03,0.542667150158801
6.04,0.5409869709247369
6.05,0.5508735535533643
6.0600000000000005,0.547450448533772
6.07,0.5528824479503963
6.08,0.5611630443245297
6.09,0.5555835326491791
6.1000000000000005,0.5588943414585205
6.11,0.5557555722136249
6.12,0.5634014970772854
6.13,0.5693989963905159
6.140000000000001,0.5713375504695072
6.15,0.5728684287616463
6.16,0.5762894082253565
6.17,0.567674785637294
6.18,0.5567388067568848
6.19,0.5545811453002162
6.2,0.5418830287484391
6.21,0.533877627597439
6.22,0.526486377515231
6.23,0.5232689781769633
6.24,0.5161733959995977
6.25,0.5039704139113457
6.26,0.5057142130222834
6.2700000000000005,0.5164808047419921
6.28,0.5201081437190583
6.29,0.5339072761533574
6.3,0.5336373312614302
6.3100000000000005,0.5353155355619512
6.32,0.5403399804596805
6.33,0.5414314448814742
6.34,0.5452323401408825
6.3500000000000005,0.5413120930013203
6.36,0.5433100433473927
6.37,0.5319708139375339
6.38,0.5298932257234621
6.390000000000001,0.5240453226306689
6.4,0.514600855231853
6.41,0.5167261596508388
6.42,0.512710275715494
6.43,0.5118238086480498
6.44,0.5152635296049978
6.45,0.5090160318480909
6.46,0.5064385779019607
6.47,0.5071396108445058
6.48,0.5078710049467444
6.49,0.5125418279246768
6.5,0.514166904712852
6.51,0.520619470389681
6.5200000000000005,0.5232410381491363
6.53,0.5313473371961
6.54,0.5328032854341316
6.55,0.5425860480843651
6.5600000000000005,0.5416339419149081
6.57,0.5549781355846953
6.58,0.560640624338223
6.59,0.5700562277638475
6.6000000000000005,0.5695491179503686
6.61,0.5673423505485446
6.62,0.5650542770052155
6.63,0.563214546675933
6.640000000000001,0.5635865625032352
6.65,0.5512919486475452
6.66,0.5427574550153016
6.67,0.5477998392026036
6.68,0.5363240983787552
6.69,0.5293914665101832
6.7,0.5192739801080873
